Date,Latitude,Longitude
27/08/2012,4.89225,7.12136
27/08/2012,5.45494,6.70406
27/08/2012,5.44881,6.63942
27/08/2012,5.44706,6.63314
29/08/2012,4.44833,6.33572
30/08/2012,4.98433,7.17822
30/08/2012,6.80842,6.19772
30/08/2012,4.50578,6.05394
30/08/2012,4.50136,6.04933
31/08/2012,4.97844,7.10025
31/08/2012,4.52642,6.00739
31/08/2012,4.52642,6.01172
31/08/2012,4.51253,6.03186
01/09/2012,4.67664,5.96117
04/09/2012,5.10119,6.50856
04/09/2012,4.49917,6.25722
07/09/2012,5.40372,6.61188
08/09/2012,4.52617,6.00789
09/09/2012,4.69983,7.24639
09/09/2012,5.10036,6.50044
09/09/2012,4.52631,6.00822
10/09/2012,4.60608,6.35264
11/09/2012,5.08522,6.53925
11/09/2012,5.69278,6.52117
12/09/2012,4.97903,7.20008
14/09/2012,5.44978,6.76667
14/09/2012,4.55717,7.03631
14/09/2012,5.63069,6.77283
15/09/2012,5.28792,6.78117
15/09/2012,4.93114,7.02169
15/09/2012,4.74306,6.90825
15/09/2012,4.54961,6.53408
15/09/2012,4.60386,6.37589
15/09/2012,4.50908,6.03997
18/09/2012,5.45219,6.79736
18/09/2012,4.47958,6.08483
18/09/2012,4.47797,6.10294
19/09/2012,7.12086,6.29964
20/09/2012,4.74053,6.10144
22/09/2012,4.70008,7.24617
23/09/2012,4.47492,6.13286
24/09/2012,4.97181,6.80431
26/09/2012,4.43694,6.31797
26/09/2012,4.50633,6.05161
26/09/2012,4.4665,6.15833
27/09/2012,4.51931,7.23647
29/09/2012,5.63422,5.70189
29/09/2012,4.95844,6.50878
30/09/2012,4.50469,7.223
02/10/2012,5.53044,6.35058
06/10/2012,4.52611,6.00794
06/10/2012,4.52597,6.00786
06/10/2012,4.52589,6.00778
07/10/2012,5.79686,5.85861
07/10/2012,4.75258,6.03011
08/10/2012,4.56642,5.90225
08/10/2012,4.54761,5.94122
09/10/2012,6.7295,6.16703
10/10/2012,5.78156,5.70711
10/10/2012,4.50969,6.03758
10/10/2012,4.50825,6.04442
13/10/2012,4.613,6.20553
13/10/2012,4.49589,6.10186
14/10/2012,4.475,6.13089
14/10/2012,4.47497,6.13281
15/10/2012,4.475,6.13089
15/10/2012,4.46953,6.14328
16/10/2012,4.47428,6.13419
17/10/2012,5.69772,5.82703
17/10/2012,5.45692,6.69733
18/10/2012,4.47472,6.11997
18/10/2012,4.52803,6.63117
19/10/2012,4.45517,6.17967
20/10/2012,4.4965,6.07575
21/10/2012,5.38883,6.67942
21/10/2012,4.41239,6.35331
21/10/2012,4.38475,6.33031
22/10/2012,4.80872,7.10406
22/10/2012,5.80972,5.9175
23/10/2012,4.83786,7.08511
24/10/2012,5.56861,5.20536
24/10/2012,5.30808,6.32369
24/10/2012,4.27167,8.155
25/10/2012,5.44011,5.82256
25/10/2012,4.62961,6.26625
26/10/2012,5.42189,6.68953
27/10/2012,4.98194,7.16914
27/10/2012,6.09142,5.52011
27/10/2012,4.62822,6.26456
27/10/2012,4.2589,8.2
28/10/2012,4.62936,6.266
28/10/2012,4.60333,6.33839
29/10/2012,5.65847,6.66131
29/10/2012,5.64061,6.619
31/10/2012,4.47764,6.10331
01/11/2012,4.87683,7.17258
01/11/2012,5.41878,6.68981
02/11/2012,4.85981,7.13567
02/11/2012,4.71072,7.28019
03/11/2012,5.63269,6.67081
04/11/2012,4.56639,5.90222
06/11/2012,4.51411,6.02936
08/11/2012,4.70381,7.27964
08/11/2012,5.1006,6.49483
09/11/2012,4.36817,7.94417
09/11/2012,5.25794,6.65661
09/11/2012,7.09731,6.29119
09/11/2012,5.69911,6.52419
09/11/2012,5.38819,6.68961
09/11/2012,4.54764,5.94117
09/11/2012,4.475,6.13281
09/11/2012,4.47033,6.14056
10/11/2012,4.70378,7.24322
10/11/2012,4.82317,5.71219
11/11/2012,4.86942,7.13547
11/11/2012,4.64489,7.27753
12/11/2012,4.91031,7.09094
13/11/2012,4.98117,7.17325
14/11/2012,5.23325,6.63814
14/11/2012,5.24861,6.59925
15/11/2012,5.45417,6.66361
16/11/2012,5.24169,6.63906
16/11/2012,4.98006,7.17931
16/11/2012,4.97992,7.17569
17/11/2012,5.26367,6.55397
17/11/2012,4.47472,6.12
19/11/2012,5.23589,6.62367
19/11/2012,5.56917,5.63639
19/11/2012,5.56425,5.61586
19/11/2012,4.604,6.33764
20/11/2012,4.52553,6.00797
20/11/2012,4.50628,6.05164
20/11/2012,4.50517,6.05617
20/11/2012,4.47475,6.12233
21/11/2012,5.10944,6.47556
22/11/2012,4.69539,5.92042
23/11/2012,5.57403,5.20631
23/11/2012,5.57403,5.20631
23/11/2012,5.57753,5.67781
23/11/2012,4.74789,6.02744
25/11/2012,5.15514,6.44
25/11/2012,5.15353,6.44056
26/11/2012,4.56033,7.00178
27/11/2012,5.89586,5.60725
27/11/2012,5.16503,6.44061
29/11/2012,4.788,7.18322
29/11/2012,5.29236,6.29597
29/11/2012,5.10031,6.50964
29/11/2012,5.09992,6.49836
30/11/2012,4.43697,6.318
06/12/2012,4.27557,8.14733
07/12/2012,5.53672,5.87994
07/12/2012,4.20189,7.27597
07/12/2012,4.76239,5.97808
07/12/2012,4.48533,6.09694
07/12/2012,4.47494,6.13011
07/12/2012,4.47492,6.13286
08/12/2012,5.77944,5.47861
08/12/2012,4.53689,6.66353
08/12/2012,5.78464,5.84928
08/12/2012,4.95847,6.50875
09/12/2012,4.49186,6.08494
09/12/2012,4.49072,6.08708
09/12/2012,4.47469,6.12003
10/12/2012,7.35289,6.39061
10/12/2012,7.04372,6.27047
10/12/2012,5.25908,6.57756
11/12/2012,5.10928,7.01647
12/12/2012,6.06694,5.70633
12/12/2012,4.73953,5.97539
15/12/2012,4.85469,7.14053
15/12/2012,4.72,7.22358
16/12/2012,5.55131,6.01822
16/12/2012,5.42089,6.68958
16/12/2012,4.74561,6.02817
17/12/2012,4.50547,6.68794
18/12/2012,5.50792,5.47628
18/12/2012,5.68417,6.51889
19/12/2012,4.55683,5.91956
19/12/2012,4.51853,6.02233
19/12/2012,4.51411,6.02933
20/12/2012,4.88703,7.18861
22/12/2012,4.50725,6.04789
23/12/2012,5.10092,6.50878
23/12/2012,5.10031,6.49761
23/12/2012,4.55697,5.91944
26/12/2012,4.4335,6.32347
26/12/2012,5.10036,6.49761
27/12/2012,5.66894,6.50839
28/12/2012,5.6875,6.52033
28/12/2012,5.68722,6.52008
28/12/2012,5.68625,6.51989
28/12/2012,5.68353,6.51956
29/12/2012,5.45719,6.69644
29/12/2012,4.40994,6.25022
30/12/2012,4.556,6.97575
31/12/2012,5.51611,6.07042
01/01/2013,4.76769,6.10453
02/01/2013,5.24011,6.63678
02/01/2013,4.47139,6.25847
02/01/2013,4.46889,6.25842
06/01/2013,4.40158,6.34319
07/01/2013,4.77378,7.20739
07/01/2013,4.65517,6.07183
08/01/2013,4.48514,6.09606
09/01/2013,4.64886,7.27722
09/01/2013,5.49106,6.70664
10/01/2013,5.10364,6.48417
10/01/2013,5.10139,6.49222
12/01/2013,4.27557,8.14733
12/01/2013,4.90878,5.66367
12/01/2013,4.88986,7.17561
12/01/2013,4.51389,6.02917
12/01/2013,4.51267,6.03172
13/01/2013,5.10903,6.47672
14/01/2013,7.04094,6.26778
14/01/2013,5.10903,6.47672
15/01/2013,5.10078,6.49511
15/01/2013,4.48936,6.08969
18/01/2013,5.62203,6.80428
19/01/2013,4.55689,7.03436
22/01/2013,5.53664,6.71572
22/01/2013,4.81242,5.72864
22/01/2013,4.73361,5.84667
23/01/2013,4.82314,5.71214
24/01/2013,4.79078,5.75639
24/01/2013,4.79053,5.75719
27/01/2013,4.91989,5.74356
27/01/2013,5.4625,6.64375
28/01/2013,4.542,5.9625
28/01/2013,5.62203,6.80428
29/01/2013,4.4005,8.12083
31/01/2013,4.53708,5.97958
31/01/2013,4.53475,5.98783
01/02/2013,4.52925,6.49919
02/02/2013,5.45714,6.71322
02/02/2013,5.61631,6.81786
03/02/2013,5.88972,5.61292
03/02/2013,4.28854,8.22819
03/02/2013,4.25143,8.2245
05/02/2013,5.08967,6.50919
08/02/2013,4.98267,7.02394
08/02/2013,5.548,5.53239
09/02/2013,5.24817,6.62436
11/02/2013,5.43633,5.84683
11/02/2013,5.44892,6.63567
12/02/2013,4.47494,6.13019
12/02/2013,4.47464,6.11983
13/02/2013,4.89022,7.12486
13/02/2013,4.65231,6.08433
13/02/2013,4.55872,6.70889
13/02/2013,4.33053,6.28161
14/02/2013,5.13056,6.45483
14/02/2013,5.12978,6.45544
14/02/2013,5.13114,6.45422
15/02/2013,5.64081,6.61856
15/02/2013,5.13761,6.44953
15/02/2013,5.12978,6.45544
15/02/2013,5.12928,6.45583
15/02/2013,5.10383,6.47767
17/02/2013,5.50511,6.70969
17/02/2013,4.81489,5.96028
21/02/2013,4.89467,7.17706
21/02/2013,4.23215,8.14611
22/02/2013,4.43964,6.32078
23/02/2013,5.10214,6.72453
23/02/2013,5.17078,6.44406
23/02/2013,4.49903,6.06992
23/02/2013,4.49392,6.08103
24/02/2013,5.45094,6.69769
24/02/2013,4.49125,6.08708
25/02/2013,4.81325,6.11839
25/02/2013,4.50669,6.05022
25/02/2013,4.62167,6.80111
26/02/2013,4.56106,6.75161
26/02/2013,5.90225,5.57356
26/02/2013,4.48936,6.08969
27/02/2013,5.40017,6.00028
28/02/2013,5.47583,6.03778
28/02/2013,4.54161,5.96408
01/03/2013,5.16961,6.44386
01/03/2013,5.16508,6.44067
01/03/2013,4.60406,6.33761
01/03/2013,4.54294,5.95847
02/03/2013,5.31628,6.78775
02/03/2013,4.98075,7.02422
03/03/2013,4.56789,6.86142
05/03/2013,4.93675,6.95964
05/03/2013,5.70619,6.5385
05/03/2013,5.67581,6.51528
09/03/2013,5.09883,6.54678
09/03/2013,4.98208,7.16903
10/03/2013,4.97914,7.17978
10/03/2013,4.40003,6.34169
10/03/2013,5.62631,6.79525
12/03/2013,5.13633,6.46783
12/03/2013,5.87361,5.11528
13/03/2013,4.93658,7.05417
13/03/2013,4.83944,7.12036
14/03/2013,5.27064,6.6885
14/03/2013,5.40761,6.63381
15/03/2013,5.24056,6.77006
15/03/2013,5.43778,5.78306
16/03/2013,6.70833,6.16175
16/03/2013,4.47792,6.10306
17/03/2013,6.07303,5.63347
17/03/2013,4.49081,6.08708
17/03/2013,4.48575,6.09606
17/03/2013,5.78583,5.42694
18/03/2013,4.78969,7.01106
19/03/2013,5.38357,6.01682
19/03/2013,4.35278,7.99911
20/03/2013,4.59047,7.03933
20/03/2013,5.60022,6.08028
20/03/2013,4.4695,6.14364
21/03/2013,5.24372,6.62583
21/03/2013,5.24031,6.61364
21/03/2013,7.17003,6.33033
22/03/2013,5.57303,6.76075
22/03/2013,5.44058,6.61211
23/03/2013,4.53072,6.63058
26/03/2013,4.91172,5.79414
26/03/2013,4.87667,7.17261
26/03/2013,5.44811,6.64831
26/03/2013,4.55569,5.9215
27/03/2013,4.68597,7.27775
27/03/2013,4.48872,6.58917
27/03/2013,5.36671,6.03354
27/03/2013,5.45517,6.69122
28/03/2013,7.30044,6.36453
28/03/2013,7.24303,6.34658
29/03/2013,5.6645,6.70403
29/03/2013,5.40178,6.62433
29/03/2013,5.1,6.49764
30/03/2013,4.34689,6.34703
01/04/2013,4.98069,7.17856
01/04/2013,5.44728,6.67558
01/04/2013,5.40378,6.62214
01/04/2013,5.38711,6.56339
02/04/2013,4.49339,7.22147
03/04/2013,5.38742,6.56164
03/04/2013,5.17181,6.44381
04/04/2013,4.33142,6.28264
05/04/2013,4.94914,5.66919
06/04/2013,4.97117,7.02567
07/04/2013,5.59233,6.75969
08/04/2013,5.72639,5.29556
08/04/2013,5.2045,6.54992
08/04/2013,4.85358,5.68047
10/04/2013,5.19783,6.54369
10/04/2013,5.88972,5.61281
10/04/2013,5.55167,6.17433
10/04/2013,4.85367,5.67994
12/04/2013,4.98725,7.16097
12/04/2013,4.45647,6.30853
12/04/2013,5.11,6.47467
13/04/2013,5.38703,6.56636
16/04/2013,4.56019,5.91819
16/04/2013,4.16315,7.44456
17/04/2013,4.57023,7.25507
18/04/2013,5.36919,6.80003
18/04/2013,5.10072,6.49519
22/04/2013,6.03357,5.70012
23/04/2013,4.30625,6.23956
24/04/2013,4.85708,7.09972
24/04/2013,4.49892,7.13578
24/04/2013,5.44694,6.65992
25/04/2013,4.52603,6.25675
25/04/2013,4.49911,6.25736
26/04/2013,5.19369,6.49308
26/04/2013,4.99947,5.69753
26/04/2013,4.94492,5.67397
26/04/2013,5.56319,5.52564
26/04/2013,5.56197,5.59481
28/04/2013,5.42378,6.58447
29/04/2013,4.49867,7.13631
29/04/2013,5.21292,6.51761
29/04/2013,4.57597,6.97542
29/04/2013,4.56475,6.84561
29/04/2013,4.56128,6.84561
02/05/2013,5.25658,6.52322
02/05/2013,5.40189,6.62444
02/05/2013,4.54703,5.94322
03/05/2013,6.92167,6.22881
03/05/2013,5.45211,6.68547
03/05/2013,5.44972,6.68106
03/05/2013,5.44747,6.67694
03/05/2013,5.44739,6.67531
03/05/2013,5.42239,6.58447
03/05/2013,4.40175,6.34336
04/05/2013,5.45019,6.69247
05/05/2013,5.62578,5.16431
05/05/2013,5.66286,6.49622
05/05/2013,5.45019,6.69247
05/05/2013,5.09917,6.49758
05/05/2013,4.3325,6.28367
06/05/2013,6.04992,5.70758
06/05/2013,4.53753,6.26011
06/05/2013,4.42811,6.22519
07/05/2013,5.44889,5.22456
07/05/2013,5.51844,5.96922
07/05/2013,5.45189,6.68494
07/05/2013,5.16722,6.44214
08/05/2013,4.54444,7.0675
08/05/2013,4.55133,6.78086
08/05/2013,5.55028,5.61668
08/05/2013,5.45367,6.68842
08/05/2013,4.51931,6.02111
08/05/2013,5.61539,6.81914
09/05/2013,4.85714,7.09967
09/05/2013,4.85342,7.104
09/05/2013,4.85147,7.10619
09/05/2013,4.51772,6.02364
10/05/2013,4.84345,5.69475
10/05/2013,4.51653,6.02556
10/05/2013,4.51433,6.02897
11/05/2013,5.24158,6.63889
11/05/2013,4.51444,6.02883
12/05/2013,5.38683,6.71042
12/05/2013,4.51469,6.0285
13/05/2013,5.09547,6.54608
13/05/2013,5.09222,6.54392
14/05/2013,4.50908,6.03994
15/05/2013,5.45608,6.70672
15/05/2013,4.50792,6.04522
15/05/2013,4.40783,6.34942
16/05/2013,4.57986,7.25289
16/05/2013,5.88972,5.61286
16/05/2013,4.50667,6.05047
17/05/2013,5.45614,6.70653
17/05/2013,4.49911,6.25742
09/06/2013,4.58478,7.25622
11/06/2013,5.52769,5.54639
12/06/2013,5.54972,6.05556
12/06/2013,5.37756,6.03606
12/06/2013,5.64569,6.66181
13/06/2013,5.09522,6.49839
14/06/2013,4.98333,5.5
15/06/2013,4.50908,6.03992
16/06/2013,5.78,5.47833
16/06/2013,4.94567,6.93739
17/06/2013,5.39,6.65403
19/06/2013,4.57469,7.25414
19/06/2013,4.50964,6.03772
20/06/2013,5.44694,6.65992
22/06/2013,5.44664,6.65408
22/06/2013,5.15756,6.43925
22/06/2013,5.15319,6.44258
22/06/2013,5.15319,6.44067
22/06/2013,4.51475,6.02839
22/06/2013,4.51269,6.03172
23/06/2013,4.51514,6.02775
24/06/2013,4.56664,6.27139
24/06/2013,4.526,6.25675
24/06/2013,4.51675,6.02411
25/06/2013,5.56681,5.20439
25/06/2013,4.95481,6.79342
25/06/2013,4.54803,5.94081
26/06/2013,5.68194,5.27111
27/06/2013,5.10317,6.48047
27/06/2013,4.50183,6.064
27/06/2013,4.50178,6.06383
28/06/2013,4.89883,7.05103
28/06/2013,5.35931,6.15483
29/06/2013,4.58703,7.25647
29/06/2013,5.10333,6.48503
29/06/2013,4.49064,6.08722
29/06/2013,5.55864,6.76158
29/06/2013,4.82028,7.15422
30/06/2013,4.50669,6.05039
30/06/2013,5.49164,6.70569
01/07/2013,4.98014,7.18344
02/07/2013,5.63331,5.15808
02/07/2013,4.54347,5.95731
03/07/2013,4.53694,5.98
03/07/2013,4.52828,6.0035
04/07/2013,4.89572,7.05481
04/07/2013,4.83072,7.15547
05/07/2013,4.53708,5.97958
05/07/2013,4.53486,5.98739
05/07/2013,4.50492,6.05661
07/07/2013,5.58528,6.70033
08/07/2013,5.16575,6.47053
08/07/2013,4.51925,6.02119
09/07/2013,5.88583,5.13333
09/07/2013,4.95375,6.833
10/07/2013,5.03192,6.69844
10/07/2013,4.56108,7.252
10/07/2013,5.25919,6.57439
10/07/2013,5.09489,6.49842
10/07/2013,4.32353,6.27325
12/07/2013,5.10386,6.47933
13/07/2013,5.56214,6.05861
13/07/2013,5.10322,6.47933
13/07/2013,4.81636,5.72047
13/07/2013,4.79044,5.75747
14/07/2013,4.57944,7.25603
16/07/2013,5.10294,6.48653
16/07/2013,4.74983,5.82233
16/07/2013,4.74983,5.82233
17/07/2013,5.81167,5.21942
17/07/2013,5.47931,5.46197
18/07/2013,4.47833,7.20619
18/07/2013,5.38675,6.56542
20/07/2013,4.53689,5.98022
20/07/2013,4.52392,6.01175
20/07/2013,4.63667,6.82694
21/07/2013,4.51928,6.02111
21/07/2013,4.50897,6.04039
22/07/2013,4.54303,5.95833
22/07/2013,4.54247,5.96081
22/07/2013,4.34567,7.67833
23/07/2013,4.54247,5.96081
23/07/2013,6.07453,5.62267
23/07/2013,5.40308,6.62272
24/07/2013,5.91242,5.09288
24/07/2013,5.5475,6.03894
24/07/2013,4.49783,6.07264
25/07/2013,4.96908,7.18514
27/07/2013,4.53472,5.98775
27/07/2013,4.50261,6.02111
28/07/2013,4.53717,5.97969
28/07/2013,4.51339,7.23106
29/07/2013,4.99497,7.17614
29/07/2013,4.98222,7.17856
29/07/2013,4.87131,6.39244
30/07/2013,4.52725,6.95836
30/07/2013,5.44903,6.63694
30/07/2013,5.44892,6.60311
30/07/2013,4.15,7.49083
31/07/2013,5.119,6.48717
31/07/2013,4.48192,6.09942
01/08/2013,4.54772,5.94119
01/08/2013,4.54703,5.94339
01/08/2013,4.54308,5.9585
01/08/2013,4.23215,8.14611
02/08/2013,5.548,5.53239
03/08/2013,5.13839,5.38597
03/08/2013,5.13839,5.38597
03/08/2013,4.48694,5.55944
05/08/2013,4.98081,7.17033
05/08/2013,5.10011,6.50422
05/08/2013,4.09028,8.01917
07/08/2013,4.55061,7.06058
07/08/2013,5.10014,6.49239
08/08/2013,4.88575,7.19489
08/08/2013,5.10014,6.50422
08/08/2013,4.40103,6.34264
09/08/2013,5.14689,6.45861
09/08/2013,4.68692,7.27783
09/08/2013,4.52628,6.00764
10/08/2013,5.46075,5.41042
10/08/2013,5.46075,5.41034
11/08/2013,4.537,5.9795
12/08/2013,5.119,6.48717
12/08/2013,5.25925,6.57664
12/08/2013,4.53481,5.98803
13/08/2013,5.41861,5.82219
13/08/2013,5.25719,6.52247
14/08/2013,4.54294,5.95828
14/08/2013,5.60021,6.83337
14/08/2013,5.51274,6.83551
16/08/2013,5.62911,6.66819
17/08/2013,4.23215,8.14611
18/08/2013,4.556,7.00256
18/08/2013,4.83164,6.18917
18/08/2013,4.68075,7.27689
19/08/2013,4.70328,5.91889
20/08/2013,4.77892,6.44847
21/08/2013,4.54372,6.69381
21/08/2013,5.44528,6.69661
21/08/2013,4.52661,6.00711
22/08/2013,4.51867,7.10611
22/08/2013,6.84394,6.20639
22/08/2013,4.81239,5.72861
22/08/2013,4.69394,5.9205
22/08/2013,4.67825,5.90367
22/08/2013,4.67775,5.904
22/08/2013,4.52614,6.00803
23/08/2013,5.46017,6.72075
23/08/2013,4.61864,6.19528
23/08/2013,4.43925,6.20675
24/08/2013,4.73628,6.88328
24/08/2013,4.80589,5.73517
24/08/2013,4.54767,5.94128
24/08/2013,4.44364,6.20194
25/08/2013,4.52589,6.00789
26/08/2013,4.53708,5.97958
27/08/2013,5.10758,6.53481
27/08/2013,4.45747,6.17528
27/08/2013,4.188,8.22417
28/08/2013,4.80658,6.10169
28/08/2013,5.44742,6.67497
28/08/2013,4.50775,6.04597
29/08/2013,4.50664,6.05047
30/08/2013,4.55422,7.00558
30/08/2013,4.49914,6.07017
01/09/2013,4.54292,5.95856
01/09/2013,5.25719,6.5225
02/09/2013,4.54311,5.958
03/09/2013,5.40661,6.66744
03/09/2013,5.39608,6.63267
03/09/2013,5.38547,6.61933
03/09/2013,4.54764,5.94128
06/09/2013,4.67547,7.27664
06/09/2013,4.82344,5.71194
06/09/2013,4.82253,5.71306
07/09/2013,4.82344,5.71194
08/09/2013,4.85783,5.68106
08/09/2013,4.77208,5.79042
